GeoFips,GeoName,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,2023:Q2,2023:Q3,2023:Q4
00000,United States,21727657,19935444,21684551,22068767,22656793,23368861,23921991,24777038,25215491,25805791,26272011,26734277,27164359,27453815,27967697,28296967
06000,California,3118522.7,2871237.9,3126987.5,3190272.4,3279904.9,3376467.2,3465519.5,3573941.6,3591071.1,3641685.3,3688897.5,3720008.9,3808244.2,3836679.8,3900426.7,3936165.1
12000,Florida,1152589.9,1066451.9,1166652.6,1182323.3,1220392.1,1276526.3,1320150.4,1377455.9,1400023.1,1442829.2,1489951.8,1528320.3,1565881.3,1582377.8,1612734.7,1642248.6
36000,New York,1821606.8,1660253.4,1790068.9,1821550.1,1840547.4,1897462.8,1938860.2,2016782.7,2025436.9,2029181.6,2063785.9,2092631,2125283.9,2157922.5,2197691.4,2207140.7
48000,Texas,1840874.8,1676440.7,1819976.6,1871282.8,1957009.4,2045172,2120880.3,2232827.4,2323836.7,2433824.2,2477702.4,2512336.8,2536078.1,2543637.3,2608141.6,2647607.9
53000,Washington,619251.6,584351.8,637585.2,639342.9,662224.7,685605.8,691182,711796.8,720503.4,732415.3,749418.8,769300.5,783604.5,800463.6,815478.7,831911.3
