SQGDP2 Gross domestic product (GDP) by state 1,,,,,,,,,,,,,,,,,,,
SQGDP2 Gross domestic product (GDP) by state 1,,,,,,,,,,,,,,,,,,,
State or DC,,,,,,,,,,,,,,,,,,,
GeoFips,GeoName,LineCode,Description,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,2023:Q2,2023:Q3,2023:Q4
12000,Florida,6,"      Mining, quarrying, and oil and gas extraction",1453.2,1140.2,1592.7,1374,1396,1210,1110.1,1238.9,1342.3,1516.4,1453.7,1311.9,1411.9,1342.2,1531.2,1672.4
12000,Florida,10,      Utilities,19305.9,19552.4,19253.9,19591.1,23463,22796.8,24399.3,25839.1,24351.6,28665.1,29501.6,28812.4,28638.1,28338,27630.3,26050.4
12000,Florida,11,      Construction,64874.9,66157.7,68194.2,68794.2,68625.9,70831.1,71446.9,75433.2,75050.1,77085.6,80052.9,83959.6,85866.9,86940.2,89837.1,91867.4
12000,Florida,12,      Manufacturing,56762.7,51940,56950.7,57553.5,59562.3,60369.5,61811.9,67082.5,67707.9,70701.1,72726.3,73312.9,74840.2,75291.4,78749.8,81533.7
12000,Florida,13,          Durable goods manufacturing,36476.1,33307.6,36916.7,37558.3,38157.2,37896.1,38097.6,40897.9,41496.2,42667.6,44551.8,45345.3,46654.2,47887.9,49692.1,51961.4
12000,Florida,25,          Nondurable goods manufacturing,20286.6,18632.3,20034,19995.2,21405.2,22473.4,23714.3,26184.6,26211.7,28033.5,28174.5,27967.6,28186,27403.5,29057.7,29572.3
12000,Florida,34,      Wholesale trade,82029.4,72865.2,83864.4,85142,84173.4,88560.2,91492.2,96758.1,97163.9,100491.4,102867.5,104354.2,108567.1,106717,108568.5,108900.4
12000,Florida,35,      Retail trade,84095.9,80827.4,94650.9,93510.2,98625.3,108417.3,106804.3,111720.4,111720.6,113824,116222.2,119906.9,124107.8,123315.5,128200.1,128976
12000,Florida,36,      Transportation and warehousing,38026.5,29348.1,31285.1,32974,36907.2,41256.3,45765.2,50248.9,54332.9,56964.4,60046.6,59997.2,60085.3,60607.8,59544.2,61035
12000,Florida,45,      Information,40519.1,39862.4,42677,42763.5,44924,46942.7,46719.5,48563.4,49518.5,48919.6,51113.8,52659.3,50967.2,53671.1,55691.9,57393.1
12000,Florida,51,      Finance and insurance,66808.3,68160.2,70641.4,73500.8,75487.4,78744.5,81453.7,86030.6,81873.9,83066.3,84058.1,84399.8,86180.9,85760,88285,90142.8
12000,Florida,56,      Real estate and rental and leasing,223565.8,217325.6,226616.7,228483.6,231519.9,238106.6,247213.2,257176.1,266209.6,277434,285809.9,296337.9,306606.6,312238.6,319170.8,325214.1
12000,Florida,60,"      Professional, scientific, and technical services",84844.3,80704.6,87587.3,89470.9,95225.7,99440.2,103934.3,109538.5,113032.5,116089.2,119665.7,122794.8,126147.7,128696.4,131215.4,132762.6
12000,Florida,64,      Management of companies and enterprises,18021,16734.2,17334,18009.8,19957.8,19883.9,20368.4,21636.7,22512,22567.6,24342.9,25454.1,26319.3,25961.7,25749.5,26274.9
12000,Florida,65,      Administrative and support and waste management and remediation services,45182.3,39457.1,45081.3,45210.6,48729.3,50272,53103.4,55973.6,58448,59432.1,61727.8,63762.4,65167.6,64886.2,65616.1,67696.3
12000,Florida,69,      Educational services,11356.2,10058.7,10688.1,10652.9,10788.3,11480.7,12087.4,12449.8,12294.3,12757.8,13261.6,13500.2,13944.5,13977,14044.3,14487.6
12000,Florida,70,      Health care and social assistance,94739.6,82963.7,97887.8,99980.2,100149.2,102099.6,104382.3,106342.9,110107.6,110497.9,114516.6,117755.2,121897.6,124560.4,127001.5,130159.9
12000,Florida,76,"      Arts, entertainment, and recreation",18550.6,9814.6,13947.5,14892.5,15844.4,16448.9,17803.7,18390.8,19316.4,20986.6,22532.5,23666.2,24190.9,24503.8,24378.6,25342.2
12000,Florida,79,      Accommodation and food services,46477.9,28546.5,39815.7,39658.6,44993,54212.6,59622.6,60597.2,61921.1,64944,67648.9,68879.5,72431.9,73441.4,75345,76529.8
12000,Florida,82,      Other services (except government and government enterprises),30089.9,25049.2,29490.6,29436.8,29570.7,31340.6,32311.9,33007.6,34545.4,35358.1,36987.5,38176.9,38229.1,38728.7,38878.5,39990.5
12000,Florida,83,  Government and government enterprises,120557.2,119684.5,122793.7,125136.2,124005.8,127522.7,131246,130963.5,131265.5,133970.2,138060.4,140396.6,141002.1,144041.1,144509.3,147698.8
12000,Florida,84,    Federal civilian,21136.5,21558.4,22696.3,22748.9,23013.7,23383.5,23733.1,24055.9,24260.7,24484.4,24812.5,25296.9,26022.2,26482.3,27052,27456.2
12000,Florida,85,    Military,11762,12136.1,12356.1,12696.7,13183.2,13417.9,13476.6,13457.8,13370.5,13426.2,13585.8,13730.1,13959,14178.8,14469.9,14723.5
12000,Florida,86,    State and local,87658.7,85990,87741.2,89690.7,87808.9,90721.2,94036.3,93449.7,93634.3,96059.6,99662.1,101369.5,101020.9,103379.9,102987.5,105519.1
36000,New York,1,All industry total,1821606.8,1660253.4,1790068.9,1821550.1,1840547.4,1897462.8,1938860.2,2016782.7,2025436.9,2029181.6,2063785.9,2092631,2125283.9,2157922.5,2197691.4,2207140.7
36000,New York,2,  Private industries,1631923.4,1476266.7,1603977.8,1633156,1653113.6,1703524.2,1739163.1,1815693.1,1825985.3,1829894.3,1866688.5,1893026,1921062.4,1952425.3,1982570.2,1992725.4
36000,New York,3,"      Agriculture, forestry, fishing and hunting",2873.6,1789.1,3121.6,2926.7,3398.5,3698.3,3586.9,4153.6,4901.2,5248,5136.5,5292.5,4486.8,3873.4,3850.8,4034.3
36000,New York,6,"      Mining, quarrying, and oil and gas extraction",866,583.4,826.4,843.2,902.2,922.2,929.1,966,906.1,1054.4,964.3,901.4,929.9,957.2,1109.8,1188.1
36000,New York,10,      Utilities,26081.6,26566.9,29158.8,28314.9,28830.9,29011.5,29177.3,31208.1,28164.8,32060.8,32340.6,32147.2,30543.6,29604.7,28837.9,27658.1
36000,New York,11,      Construction,58840.5,45855.1,57177.3,55760.7,57066.5,57123.4,56322.6,56212.6,59302.5,59470.5,59607.7,62312.6,63828,64153.5,64025.5,64763.1
36000,New York,12,      Manufacturing,71920.2,64008,69519.9,70533,72945.7,74816.1,77747.3,80887,80472.5,83124.9,81794.5,84595.9,83820.7,84295.3,87086.5,88404.8
36000,New York,13,          Durable goods manufacturing,31920.9,26838.9,30371.7,30173.1,30086.5,28870.2,28733.6,30249.5,30794.1,31965.8,32109.2,32855.1,32038.2,32381.7,32304,32681.7
36000,New York,25,          Nondurable goods manufacturing,39999.3,37169.1,39148.2,40359.9,42859.2,45945.9,49013.7,50637.5,49678.4,51159.1,49685.3,51740.9,51782.5,51913.6,54782.5,55723.1
36000,New York,34,      Wholesale trade,80324,65192.6,76818.4,76246,75869.3,76858.5,78940.4,82270.8,86316.3,86666.1,88443.1,88867.9,88854.7,89999.5,90050.1,90200.9
36000,New York,35,      Retail trade,83915.3,70157.5,86959.5,83149.1,89947.4,92708.1,90008.6,93844.3,93122.1,95034.9,96607.4,98990,101758.8,103291.6,106397.9,106593.4
36000,New York,36,      Transportation and warehousing,35784.5,24918.1,28051.7,29749.9,31185.4,33575.6,36564.2,39345.1,41461.6,43515.5,45281.9,45970.3,48166.7,48257.7,47564.7,47904.1
36000,New York,45,      Information,155655.6,147249,154303.2,159172.5,155066.9,161715.8,161332.9,170472.5,164112.3,163945.1,171785.1,175133.1,173309.3,183689.7,185251.6,184685.2
36000,New York,51,      Finance and insurance,355297.7,365932.2,375110.4,384188.4,384898.7,395275.6,399473.5,429484,426516.7,409589.1,416655.9,412645.3,414233.9,418212.9,427239.6,423900.3
36000,New York,56,      Real estate and rental and leasing,245158.4,237917.4,246984.4,250898,256696.4,262455.1,268399.5,272973.3,280536.4,281347.5,286637.6,293439.4,300089,307256.4,311696,316800.9
