GeoFips,GeoName,2020,2021,2022,2023
0,United States,14225657.2,16113945.5,17690840.5,18822768.8
12000,Florida,965577,1119615.4,1259026.1,1361251.4
19000,Iowa,121083.2,135535.4,146507.4,153399.7
36000,New York,962822.3,1065899.5,1164641.8,1248145.3
48000,Texas,1177185,1348634.4,1491529.8,1595277.8
50000,Vermont,30400.9,33281.2,36025.7,38173
53000,Washington,357054.7,405369.9,444526.8,472900
